location	values
Candler, NC 28715	{'latitude': 35.5365, 'longitude': -82.69291, 'type': 'locality', 'name': 'Candler', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Buncombe County', 'locality': 'Candler', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Candler, NC, USA'}
Columbus, OH 43215 (Brewery District (including Whittier Peninsula) area)	{'latitude': 40.791584, 'longitude': -82.764588, 'type': 'address', 'name': '8197 OH-309', 'number': '8197', 'postal_code': '44833', 'street': 'OH-309', 'confidence': 0.8, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Crawford County', 'locality': 'Galion', 'administrative_area': 'Jackson Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '8197 OH-309, Galion, OH, USA'}
Brooklyn, NY 11225	{'latitude': 40.652256, 'longitude': -73.956582, 'type': 'borough', 'name': 'Brooklyn', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'New York', 'region_code': 'NY', 'county': 'Kings County', 'locality': 'New York', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Brooklyn, New York, NY, USA'}
Beardstown, IL 62618	{'latitude': 40.013525, 'longitude': -90.42814, 'type': 'locality', 'name': 'Beardstown', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Cass County', 'locality': 'Beardstown', 'administrative_area': 'Beardstown Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Beardstown, IL, USA'}
Sparks, MD	{'latitude': 39.53094, 'longitude': -76.6458, 'type': 'locality', 'name': 'Sparks', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Maryland', 'region_code': 'MD', 'county': 'Baltimore County', 'locality': 'Sparks', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Sparks, MD, USA'}
Escondido, CA 92029	{'latitude': 33.12441, 'longitude': -117.083793, 'type': 'locality', 'name': 'Escondido', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'San Diego County', 'locality': 'Escondido', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Escondido, CA, USA'}
Heber Springs, AR 72543	{'latitude': 35.498709, 'longitude': -92.029746, 'type': 'locality', 'name': 'Heber Springs', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Arkansas', 'region_code': 'AR', 'county': 'Cleburne County', 'locality': 'Heber Springs', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Heber Springs, AR, USA'}
New Orleans, LA 70130 (St. Thomas area)	{'latitude': 29.937353, 'longitude': -90.069648, 'type': 'postalcode', 'name': '70130', 'number': None, 'postal_code': '70130', 'street': None, 'confidence': 1, 'region': 'Louisiana', 'region_code': 'LA', 'county': 'Orleans Parish', 'locality': 'New Orleans', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '70130, New Orleans, LA, USA'}
Nashville, TN 37209	{'latitude': 36.1854, 'longitude': -86.94857, 'type': 'postalcode', 'name': '37209', 'number': None, 'postal_code': '37209', 'street': None, 'confidence': 1, 'region': 'Tennessee', 'region_code': 'TN', 'county': 'Davidson County', 'locality': 'Nashville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '37209, Nashville, TN, USA'}
Phoenix, AZ 85008 (Central City area)	{'latitude': 33.462954, 'longitude': -111.985178, 'type': 'postalcode', 'name': '85008', 'number': None, 'postal_code': '85008', 'street': None, 'confidence': 1, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Phoenix', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '85008, Phoenix, AZ, USA'}
Piqua, OH 45356	{'latitude': 40.16284, 'longitude': -84.22821, 'type': 'postalcode', 'name': '45356', 'number': None, 'postal_code': '45356', 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Miami County', 'locality': 'Piqua', 'administrative_area': 'Piqua', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '45356, Piqua, OH, USA'}
Norman, OK	{'latitude': 35.224197, 'longitude': -97.297922, 'type': 'locality', 'name': 'Norman', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Oklahoma', 'region_code': 'OK', 'county': 'Cleveland County', 'locality': 'Norman', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Norman, OK, USA'}
Orlando, FL 32811 (Eagles Nest area)	{'latitude': 28.41959, 'longitude': -81.293691, 'type': 'locality', 'name': 'Orlando', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Orange County', 'locality': 'Orlando', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Orlando, FL, USA'}
Manhattan, KS	{'latitude': 39.191673, 'longitude': -96.590328, 'type': 'locality', 'name': 'Manhattan', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Kansas', 'region_code': 'KS', 'county': 'Riley County', 'locality': 'Manhattan', 'administrative_area': 'Manhattan', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Manhattan, KS, USA'}
Morgan City, LA 70380	{'latitude': 29.69937, 'longitude': -91.20677, 'type': 'locality', 'name': 'Morgan City', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Louisiana', 'region_code': 'LA', 'county': 'St. Mary Parish', 'locality': 'Morgan City', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Morgan City, LA, USA'}
Odessa, FL 33556	{'latitude': 28.181925, 'longitude': -82.54077, 'type': 'locality', 'name': 'Odessa', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Pasco County', 'locality': 'Odessa', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Odessa, FL, USA'}
Stow, MA	{'latitude': 42.43704, 'longitude': -71.50562, 'type': 'locality', 'name': 'Stow', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Middlesex County', 'locality': 'Stow', 'administrative_area': 'Stow', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Stow, MA, USA'}
Columbus, OH 43223	{'latitude': 39.980761, 'longitude': -82.985331, 'type': 'locality', 'name': 'Columbus', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Franklin County', 'locality': 'Columbus', 'administrative_area': 'Columbus', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Columbus, OH, USA'}
Holly Springs, NC 27540	{'latitude': 35.653101, 'longitude': -78.835419, 'type': 'locality', 'name': 'Holly Springs', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Wake County', 'locality': 'Holly Springs', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Holly Springs, NC, USA'}
Traverse City, MI 49686	{'latitude': 44.76306, 'longitude': -85.62063, 'type': 'locality', 'name': 'Traverse City', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Michigan', 'region_code': 'MI', 'county': 'Grand Traverse County', 'locality': 'Traverse City', 'administrative_area': 'Traverse City', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Traverse City, MI, USA'}
Mulberry, FL 33860	{'latitude': 27.898723, 'longitude': -81.964739, 'type': 'locality', 'name': 'Mulberry', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Florida', 'region_code': 'FL', 'county': 'Polk County', 'locality': 'Mulberry', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Mulberry, FL, USA'}
Charlestown, MA 02129	{'latitude': 42.358752, 'longitude': -71.531484, 'type': 'region', 'name': 'Massachusetts', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.3, 'region': 'Massachusetts', 'region_code': 'MA', 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Massachusetts, USA'}
Clinton, CT 06413	{'latitude': 41.277334, 'longitude': -72.530806, 'type': 'locality', 'name': 'Clinton', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Connecticut', 'region_code': 'CT', 'county': 'Middlesex County', 'locality': 'Clinton', 'administrative_area': 'Clinton', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Clinton, CT, USA'}
Asheville, NC 28806	{'latitude': 35.571971, 'longitude': -82.614729, 'type': 'postalcode', 'name': '28806', 'number': None, 'postal_code': '28806', 'street': None, 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Buncombe County', 'locality': 'Asheville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '28806, Asheville, NC, USA'}
Chicago, IL 60609 (Stateway Gardens area)	{'latitude': 41.87897, 'longitude': -87.66063, 'type': 'locality', 'name': 'Chicago', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Illinois', 'region_code': 'IL', 'county': 'Cook County', 'locality': 'Chicago', 'administrative_area': 'Chicago', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Chicago, IL, USA'}
Troy, OH	{'latitude': 40.706341, 'longitude': -82.607877, 'type': 'locality', 'name': 'Troy', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Ohio', 'region_code': 'OH', 'county': 'Richland County', 'locality': 'Troy', 'administrative_area': 'Troy Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Troy, OH, USA'}
Dennis, MA	{'latitude': 41.736077, 'longitude': -70.201937, 'type': 'locality', 'name': 'Dennis', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Barnstable County', 'locality': 'Dennis', 'administrative_area': 'Dennis', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Dennis, MA, USA'}
Rochester, NH	{'latitude': 43.29583, 'longitude': -70.977306, 'type': 'locality', 'name': 'Rochester', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'New Hampshire', 'region_code': 'NH', 'county': 'Strafford County', 'locality': 'Rochester', 'administrative_area': 'Rochester', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Rochester, NH, USA'}
Fair Lawn, NJ 07410	{'latitude': 40.935833, 'longitude': -74.117504, 'type': 'postalcode', 'name': '07410', 'number': None, 'postal_code': '07410', 'street': None, 'confidence': 1, 'region': 'New Jersey', 'region_code': 'NJ', 'county': 'Bergen County', 'locality': 'Fair Lawn', 'administrative_area': 'Fair Lawn', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '07410, Fair Lawn, NJ, USA'}
Berlin, CT 06037	{'latitude': 41.61139, 'longitude': -72.77582, 'type': 'locality', 'name': 'Town of Berlin', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Connecticut', 'region_code': 'CT', 'county': 'Hartford County', 'locality': 'Town of Berlin', 'administrative_area': 'Berlin', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Town of Berlin, CT, USA'}
Orange, CA 92865	{'latitude': 33.802647, 'longitude': -117.84931, 'type': 'locality', 'name': 'Orange', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Orange County', 'locality': 'Orange', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Orange, CA, USA'}
Cupertino, CA 95014 (Homestead Villa area)	{'latitude': -46.398914, 'longitude': 168.347909, 'type': 'venue', 'name': 'Homestead Villa Motel', 'number': '74', 'postal_code': '9810', 'street': 'Avenal Street', 'confidence': 0.8, 'region': 'Southland Region', 'region_code': 'SO', 'county': 'Invercargill City', 'locality': 'Invercargill', 'administrative_area': 'Invercargill', 'neighbourhood': None, 'country': 'New Zealand', 'country_code': 'NZL', 'continent': 'Oceania', 'label': 'Homestead Villa Motel, Invercargill, SO, New Zealand'}
Columbia, MO 65201	{'latitude': 38.94726, 'longitude': -92.327555, 'type': 'locality', 'name': 'Columbia', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Missouri', 'region_code': 'MO', 'county': 'Boone County', 'locality': 'Columbia', 'administrative_area': 'Columbia Township', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Columbia, MO, USA'}
Beaver Falls, PA 15010	{'latitude': 40.76199, 'longitude': -80.32253, 'type': 'locality', 'name': 'City of Beaver Falls', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Pennsylvania', 'region_code': 'PA', 'county': 'Beaver County', 'locality': 'City of Beaver Falls', 'administrative_area': 'Beaver Falls', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'City of Beaver Falls, PA, USA'}
